comparison_id,comparison_scope,run_group,stage,family,case_id,baseline_layer,treatment_layer,baseline_source_path,treatment_source_path,match_status,quality_comparable_numerator,quality_comparable_denominator,baseline_quality_pass,treatment_quality_pass,baseline_prompt_visible_bytes,treatment_prompt_visible_bytes,prompt_visible_bytes_delta,prompt_visible_bytes_reduction_ratio,baseline_prompt_tokens,treatment_prompt_tokens,prompt_tokens_delta,prompt_tokens_reduction_ratio,baseline_total_tokens,treatment_total_tokens,total_tokens_delta,total_tokens_reduction_ratio,baseline_wall_time_ms,treatment_wall_time_ms,wall_time_ms_delta,baseline_state_ref_count,treatment_state_ref_count,claim_boundary
p0_formal_formal-agg-004_L0_to_L2,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-agg-004,L0,L2,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-agg-004/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L2/formal-agg-004/logs/task_metrics.json,matched_case_family,1,1,True,True,9516.0,1083.0,-8433.0,0.8861916771752837,6584.0,1978.0,-4606.0,0.6995747266099636,7006.0,2343.0,-4663.0,0.6655723665429631,29667.291718999997,25199.246718,-4468.045000999999,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-agg-004_L0_to_L3,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-agg-004,L0,L3,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-agg-004/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L3/formal-agg-004/logs/task_metrics.json,matched_case_family,1,1,True,True,9516.0,1083.0,-8433.0,0.8861916771752837,6584.0,1978.0,-4606.0,0.6995747266099636,7006.0,2343.0,-4663.0,0.6655723665429631,29667.291718999997,27647.494248,-2019.797470999998,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-anomaly-001_L0_to_L1,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-anomaly-001,L0,L1,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-anomaly-001/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L1/formal-anomaly-001/logs/task_metrics.json,matched_case_family,1,1,True,True,13234.0,13234.0,0.0,-0.0,6204.0,6232.0,28.0,-0.004513217279174726,6615.0,6622.0,7.0,-0.0010582010582010583,28017.695257000003,26760.593634999997,-1257.1016220000056,0.0,0.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-anomaly-001_L0_to_L2,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-anomaly-001,L0,L2,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-anomaly-001/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L2/formal-anomaly-001/logs/task_metrics.json,matched_case_family,1,1,True,True,13234.0,1668.0,-11566.0,0.8739610095209309,6204.0,1865.0,-4339.0,0.6993874919406834,6615.0,2247.0,-4368.0,0.6603174603174603,28017.695257000003,26321.376047,-1696.3192100000015,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-anomaly-001_L0_to_L3,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-anomaly-001,L0,L3,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-anomaly-001/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L3/formal-anomaly-001/logs/task_metrics.json,matched_case_family,1,1,True,True,13234.0,1668.0,-11566.0,0.8739610095209309,6204.0,1865.0,-4339.0,0.6993874919406834,6615.0,2247.0,-4368.0,0.6603174603174603,28017.695257000003,25870.297931,-2147.397326000002,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-anomaly-002_L0_to_L1,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-anomaly-002,L0,L1,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-anomaly-002/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L1/formal-anomaly-002/logs/task_metrics.json,matched_case_family,1,1,True,True,9514.0,9514.0,0.0,-0.0,6567.0,6598.0,31.0,-0.00472057255976854,7016.0,6967.0,-49.0,0.006984036488027366,30574.612021000004,25312.470417,-5262.141604000004,0.0,0.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-anomaly-002_L0_to_L2,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-anomaly-002,L0,L2,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-anomaly-002/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L2/formal-anomaly-002/logs/task_metrics.json,matched_case_family,1,1,True,True,9514.0,1081.0,-8433.0,0.8863779693083876,6567.0,1955.0,-4612.0,0.7022993756662098,7016.0,2317.0,-4699.0,0.6697548460661346,30574.612021000004,24845.314522,-5729.297499000004,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-anomaly-002_L0_to_L3,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-anomaly-002,L0,L3,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-anomaly-002/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L3/formal-anomaly-002/logs/task_metrics.json,matched_case_family,1,1,True,True,9514.0,1081.0,-8433.0,0.8863779693083876,6567.0,1955.0,-4612.0,0.7022993756662098,7016.0,2317.0,-4699.0,0.6697548460661346,30574.612021000004,24636.512448,-5938.099573000003,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-anomaly-003_L0_to_L1,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-anomaly-003,L0,L1,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-anomaly-003/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L1/formal-anomaly-003/logs/task_metrics.json,matched_case_family,1,1,True,True,9522.0,9522.0,0.0,-0.0,6283.0,6423.0,140.0,-0.022282349196243834,6740.0,6813.0,73.0,-0.01083086053412463,31141.100791999997,26637.954793999997,-4503.145998,0.0,0.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-anomaly-003_L0_to_L2,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-anomaly-003,L0,L2,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-anomaly-003/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L2/formal-anomaly-003/logs/task_metrics.json,matched_case_family,1,1,True,True,9522.0,1089.0,-8433.0,0.8856332703213611,6283.0,1780.0,-4503.0,0.7166958459334712,6740.0,2171.0,-4569.0,0.677893175074184,31141.100791999997,27169.555408,-3971.5453839999973,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-anomaly-003_L0_to_L3,P0 formal ladder,p0_full,06_formal_full,continuous_csv_table_analysis,formal-anomaly-003,L0,L3,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-anomaly-003/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L3/formal-anomaly-003/logs/task_metrics.json,matched_case_family,1,1,True,True,9522.0,1089.0,-8433.0,0.8856332703213611,6283.0,1780.0,-4503.0,0.7166958459334712,6740.0,2171.0,-4569.0,0.677893175074184,31141.100791999997,26419.040178000003,-4722.0606139999945,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-join-001_L0_to_L1,P0 formal ladder,p0_full,06_formal_full,cross_period_financial_analysis,formal-join-001,L0,L1,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-join-001/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L1/formal-join-001/logs/task_metrics.json,matched_case_family,1,1,True,True,4547.0,4547.0,0.0,-0.0,2837.0,2940.0,103.0,-0.036305956996827635,3271.0,3346.0,75.0,-0.022928767960868235,29433.288205,27546.748453,-1886.5397520000006,0.0,0.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-join-001_L0_to_L2,P0 formal ladder,p0_full,06_formal_full,cross_period_financial_analysis,formal-join-001,L0,L2,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-join-001/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L2/formal-join-001/logs/task_metrics.json,matched_case_family,1,1,True,True,4547.0,1599.0,-2948.0,0.6483395645480536,2837.0,1831.0,-1006.0,0.3545999295029961,3271.0,2228.0,-1043.0,0.31886273310914093,29433.288205,26860.764873,-2572.5233320000007,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-join-001_L0_to_L3,P0 formal ladder,p0_full,06_formal_full,cross_period_financial_analysis,formal-join-001,L0,L3,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-join-001/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L3/formal-join-001/logs/task_metrics.json,matched_case_family,1,1,True,True,4547.0,1599.0,-2948.0,0.6483395645480536,2837.0,1831.0,-1006.0,0.3545999295029961,3271.0,2228.0,-1043.0,0.31886273310914093,29433.288205,26939.966385,-2493.321820000001,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-join-002_L0_to_L1,P0 formal ladder,p0_full,06_formal_full,cross_period_financial_analysis,formal-join-002,L0,L1,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-join-002/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L1/formal-join-002/logs/task_metrics.json,matched_case_family,1,1,True,True,4547.0,4547.0,0.0,-0.0,2837.0,2940.0,103.0,-0.036305956996827635,3265.0,3347.0,82.0,-0.025114854517611026,29021.599377,27485.333993,-1536.2653839999984,0.0,0.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-join-002_L0_to_L2,P0 formal ladder,p0_full,06_formal_full,cross_period_financial_analysis,formal-join-002,L0,L2,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-join-002/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L2/formal-join-002/logs/task_metrics.json,matched_case_family,1,1,True,True,4547.0,1599.0,-2948.0,0.6483395645480536,2837.0,1831.0,-1006.0,0.3545999295029961,3265.0,2228.0,-1037.0,0.3176110260336907,29021.599377,27120.145803,-1901.4535739999992,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-join-002_L0_to_L3,P0 formal ladder,p0_full,06_formal_full,cross_period_financial_analysis,formal-join-002,L0,L3,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-join-002/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L3/formal-join-002/logs/task_metrics.json,matched_case_family,1,1,True,True,4547.0,1599.0,-2948.0,0.6483395645480536,2837.0,1831.0,-1006.0,0.3545999295029961,3265.0,2228.0,-1037.0,0.3176110260336907,29021.599377,27172.864857,-1848.7345199999982,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-join-003_L0_to_L1,P0 formal ladder,p0_full,06_formal_full,cross_period_financial_analysis,formal-join-003,L0,L1,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-join-003/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L1/formal-join-003/logs/task_metrics.json,matched_case_family,1,1,True,True,4547.0,4547.0,0.0,-0.0,2837.0,2940.0,103.0,-0.036305956996827635,3273.0,3355.0,82.0,-0.025053467766575008,29504.762017,28076.428611,-1428.3334060000016,0.0,0.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-join-003_L0_to_L2,P0 formal ladder,p0_full,06_formal_full,cross_period_financial_analysis,formal-join-003,L0,L2,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-join-003/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L2/formal-join-003/logs/task_metrics.json,matched_case_family,1,1,True,True,4547.0,1596.0,-2951.0,0.6489993402243237,2837.0,1828.0,-1009.0,0.35565738456115614,3273.0,2237.0,-1036.0,0.31652917812404524,29504.762017,27892.143015999998,-1612.6190010000028,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-join-003_L0_to_L3,P0 formal ladder,p0_full,06_formal_full,cross_period_financial_analysis,formal-join-003,L0,L3,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-join-003/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L3/formal-join-003/logs/task_metrics.json,matched_case_family,1,1,True,True,4547.0,1596.0,-2951.0,0.6489993402243237,2837.0,1828.0,-1009.0,0.35565738456115614,3273.0,2237.0,-1036.0,0.31652917812404524,29504.762017,27958.300145,-1546.4618719999999,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-join-004_L0_to_L1,P0 formal ladder,p0_full,06_formal_full,cross_period_financial_analysis,formal-join-004,L0,L1,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-join-004/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L1/formal-join-004/logs/task_metrics.json,matched_case_family,1,1,True,True,4547.0,4547.0,0.0,-0.0,2881.0,2995.0,114.0,-0.039569593891010064,3320.0,3480.0,160.0,-0.04819277108433735,29780.501561,32878.255061,3097.7535000000025,0.0,0.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-join-004_L0_to_L2,P0 formal ladder,p0_full,06_formal_full,cross_period_financial_analysis,formal-join-004,L0,L2,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-join-004/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L2/formal-join-004/logs/task_metrics.json,matched_case_family,1,1,True,True,4547.0,1962.0,-2585.0,0.5685067077193754,2881.0,2083.0,-798.0,0.27698715723707046,3320.0,2566.0,-754.0,0.22710843373493975,29780.501561,32472.663656000004,2692.1620950000033,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-join-004_L0_to_L3,P0 formal ladder,p0_full,06_formal_full,cross_period_financial_analysis,formal-join-004,L0,L3,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-join-004/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L3/formal-join-004/logs/task_metrics.json,matched_case_family,1,1,True,True,4547.0,1962.0,-2585.0,0.5685067077193754,2881.0,2083.0,-798.0,0.27698715723707046,3320.0,2566.0,-754.0,0.22710843373493975,29780.501561,32524.342783,2743.841221999999,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-join-005_L0_to_L1,P0 formal ladder,p0_full,06_formal_full,cross_period_financial_analysis,formal-join-005,L0,L1,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-join-005/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L1/formal-join-005/logs/task_metrics.json,matched_case_family,1,1,True,True,4547.0,4547.0,0.0,-0.0,2846.0,2953.0,107.0,-0.03759662684469431,3311.0,3413.0,102.0,-0.030806402899426155,31359.559945,31244.980150000003,-114.57979499999783,0.0,0.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
p0_formal_formal-join-005_L0_to_L2,P0 formal ladder,p0_full,06_formal_full,cross_period_financial_analysis,formal-join-005,L0,L2,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L0/formal-join-005/logs/task_metrics.json,/home/qcrs/statebus/runs/full_qwen3_full_p1_20260715_001059/stages/06_formal_full/workspaces/L2/formal-join-005/logs/task_metrics.json,matched_case_family,1,1,True,True,4547.0,1599.0,-2948.0,0.6483395645480536,2846.0,1844.0,-1002.0,0.3520730850316233,3311.0,2295.0,-1016.0,0.3068559347629115,31359.559945,30680.300192,-679.2597530000021,0.0,1.0,"same recorded case/layer rows; semantic selection, prompt layout and runtime behavior may still vary, so this is not carrier-only causality"
